[2022/06/28 20:25:19] - Namespace(attack='pgd', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../cifar-data', dropout=0.3, epochs=200, epsilon=8, eval=False, fgsm_alpha=1.0, fgsm_init='r
andom', fname='experiments/cifar10_dropout/preactresnet18_0.3', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='PreActResNet18drop', norm='l_i
nf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)                                                                                                                                                           
Files already downloaded and verified                                                                                                                                                                                                 
Files already downloaded and verified                                                                                                                                                                                                 
[2022/06/28 20:25:23] - Epoch    Train Time      Test Time       LR              Train Loss      Train Acc       Train Robust Loss       Train Robust Acc        Test Loss       Test Acc        Test Robust Loss    Test Robust Acc  
[2022/06/28 23:34:21] - 55       170.5           31.7            0.1000          0.9172          0.7357          1.4492                  0.4522                  0.8707          0.7223          1.4917              0.4415
[2022/06/28 23:37:43] - 56       170.6           31.7            0.1000          0.9191          0.7339          1.4527                  0.4523                  0.8742          0.7259          1.4859              0.4467
[2022/06/28 23:41:06] - 57       170.7           31.7            0.1000          0.9196          0.7390          1.4522                  0.4518                  0.8888          0.7172          1.5696              0.4111
[2022/06/28 23:44:28] - 58       170.7           31.7            0.1000          0.9264          0.7357          1.4562                  0.4519                  0.8735          0.7412          1.4791              0.4412
[2022/06/28 23:47:50] - 59       170.6           31.7            0.1000          0.9209          0.7359          1.4527                  0.4518                  0.8969          0.7390          1.4883              0.4334
[2022/06/28 23:51:13] - 60       170.6           31.7            0.1000          0.9194          0.7377          1.4522                  0.4521                  0.9122          0.7295          1.5110              0.4373
[2022/06/28 23:54:35] - 61       170.6           31.7            0.1000          0.9175          0.7380          1.4503                  0.4535                  0.8543          0.7524          1.4847              0.4325
[2022/06/28 23:57:58] - 62       170.6           31.7            0.1000          0.9170          0.7375          1.4521                  0.4534                  0.9090          0.7395          1.4872              0.4440
[2022/06/29 00:01:20] - 63       170.6           31.7            0.1000          0.9139          0.7385          1.4459                  0.4561                  0.8980          0.7184          1.4906              0.4380
[2022/06/29 00:04:42] - 64       170.5           31.7            0.1000          0.9149          0.7382          1.4479                  0.4526                  0.8888          0.7241          1.4763              0.4485
[2022/06/29 00:08:05] - 65       170.6           31.7            0.1000          0.9118          0.7379          1.4438                  0.4558                  0.9325          0.7065          1.5123              0.4312
[2022/06/29 00:11:27] - 66       170.6           31.7            0.1000          0.9141          0.7397          1.4479                  0.4543                  0.8797          0.7455          1.4805              0.4434
[2022/06/29 00:14:49] - 67       170.7           31.7            0.1000          0.9125          0.7390          1.4469                  0.4564                  0.8238          0.7512          1.4685              0.4428
[2022/06/29 00:18:11] - 68       170.5           31.7            0.1000          0.9078          0.7430          1.4443                  0.4569                  0.8863          0.7329          1.4632              0.4525
[2022/06/29 00:21:35] - 69       171.3           31.8            0.1000          0.9108          0.7385          1.4469                  0.4560                  0.8754          0.7243          1.4863              0.4418
[2022/06/29 00:24:57] - 70       170.6           31.7            0.1000          0.9116          0.7378          1.4465                  0.4544                  0.8779          0.7507          1.4737              0.4417
[2022/06/29 00:28:19] - 71       170.6           31.7            0.1000          0.9102          0.7427          1.4461                  0.4536                  0.9091          0.7369          1.4971              0.4397
[2022/06/29 00:31:42] - 72       170.6           31.7            0.1000          0.9089          0.7415          1.4441                  0.4564                  0.8644          0.7380          1.4758              0.4434
[2022/06/29 00:35:04] - 73       170.6           31.7            0.1000          0.9087          0.7409          1.4441                  0.4558                  0.9067          0.7265          1.5008              0.4331
[2022/06/29 00:38:27] - 74       171.0           31.7            0.1000          0.9101          0.7405          1.4435                  0.4569                  0.9124          0.7284          1.4841              0.4463
[2022/06/29 00:41:49] - 75       170.6           31.7            0.1000          0.9064          0.7411          1.4412                  0.4574                  0.9223          0.7178          1.4953              0.4354
[2022/06/29 00:45:11] - 76       170.5           31.7            0.1000          0.9077          0.7429          1.4434                  0.4573                  0.8991          0.7438          1.4962              0.4479
[2022/06/29 00:48:34] - 77       170.7           31.7            0.1000          0.9075          0.7405          1.4445                  0.4563                  0.8824          0.7364          1.5115              0.4305
[2022/06/29 00:51:56] - 78       170.6           31.7            0.1000          0.9063          0.7407          1.4411                  0.4567                  0.8465          0.7420          1.4814              0.4362
[2022/06/29 00:55:19] - 79       171.0           31.7            0.1000          0.9051          0.7423          1.4393                  0.4576                  0.8762          0.7436          1.4962              0.4318
[2022/06/29 00:58:41] - 80       170.6           31.7            0.1000          0.9087          0.7414          1.4450                  0.4568                  0.8821          0.7276          1.4584              0.4531
[2022/06/29 01:02:04] - 81       170.7           31.8            0.1000          0.9063          0.7437          1.4422                  0.4553                  0.8306          0.7479          1.5440              0.4131
[2022/06/29 01:05:26] - 82       170.8           31.7            0.1000          0.9042          0.7450          1.4417                  0.4542                  0.8861          0.7248          1.4915              0.4430
[2022/06/29 01:08:49] - 83       170.8           31.7            0.1000          0.9067          0.7426          1.4444                  0.4563                  0.8851          0.7264          1.4844              0.4421
