[2022/06/16 16:52:09] - Namespace(attack='pgd', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=True, cutout_len=10, data_dir='../cifar-data', epochs=200, epsilon=8, eval=False, fgsm_alpha=1.0, fgsm_init='random', fname='experiments/cifar10_mixup/preactresnet18_1.
0', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='piecewise', mixup=True, mixup_alpha=1.0, model='PreActResNet18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)                                 
Files already downloaded and verified                                                                                                                                                                                                                                           
Files already downloaded and verified                                                                                                                                                                                                                                           
[2022/06/16 16:52:12] - Epoch    Train Time      Test Time       LR              Train Loss      Train Acc       Train Robust Loss       Train Robust Acc        Test Loss       Test Acc        Test Robust Loss        Test Robust Acc                                        
[2022/06/16 19:41:19] - 46       187.0           28.7            0.1000          1.7990          0.3021          2.0692                  0.1889                  1.5062          0.5795          1.7398                  0.4166     
[2022/06/16 19:44:55] - 47       186.9           28.8            0.1000          1.8158          0.3077          2.0802                  0.1884                  1.4658          0.5509          1.7521                  0.3771                                         [97/209]
[2022/06/16 19:48:31] - 48       187.0           28.7            0.1000          1.8145          0.3108          2.0788                  0.1943                  1.4234          0.5611          1.7086                  0.3895
[2022/06/16 19:52:07] - 49       187.0           28.7            0.1000          1.8165          0.3183          2.0806                  0.1956                  1.5303          0.5473          1.7771                  0.3881
[2022/06/16 19:55:43] - 50       187.0           28.7            0.1000          1.8237          0.3142          2.0846                  0.1931                  1.3669          0.5779          1.7049                  0.3884
[2022/06/16 19:59:18] - 51       186.9           28.7            0.1000          1.8196          0.3151          2.0822                  0.1951                  1.3445          0.5851          1.6617                  0.4092
[2022/06/16 20:02:55] - 52       187.7           28.7            0.1000          1.8190          0.2893          2.0817                  0.1779                  1.5774          0.5326          1.8255                  0.3702
[2022/06/16 20:06:30] - 53       186.9           28.8            0.1000          1.8228          0.3205          2.0853                  0.1959                  1.5296          0.5449          1.7686                  0.3974
[2022/06/16 20:10:06] - 54       187.0           28.7            0.1000          1.8358          0.3030          2.0922                  0.1867                  1.3916          0.5592          1.7263                  0.3772
[2022/06/16 20:13:42] - 55       186.9           28.7            0.1000          1.8302          0.3050          2.0888                  0.1858                  1.3940          0.5869          1.6926                  0.3996
[2022/06/16 20:17:18] - 56       187.0           28.7            0.1000          1.8068          0.2992          2.0759                  0.1831                  1.3893          0.5673          1.7338                  0.3656
[2022/06/16 20:20:53] - 57       187.0           28.8            0.1000          1.8153          0.3104          2.0801                  0.1895                  1.5562          0.5550          1.8122                  0.3850
[2022/06/16 20:24:29] - 58       187.0           28.7            0.1000          1.7901          0.3215          2.0640                  0.1981                  1.6325          0.4885          1.8476                  0.3534
[2022/06/16 20:28:05] - 59       187.0           28.8            0.1000          1.8092          0.3062          2.0761                  0.1882                  1.7172          0.4655          1.9087                  0.3334
[2022/06/16 20:31:41] - 60       187.0           28.8            0.1000          1.8163          0.3097          2.0805                  0.1902                  1.3580          0.5824          1.6792                  0.4038
[2022/06/16 20:35:17] - 61       187.0           28.7            0.1000          1.8004          0.3059          2.0729                  0.1870                  1.4191          0.5658          1.7173                  0.3853
[2022/06/16 20:38:52] - 62       186.9           28.7            0.1000          1.7686          0.3089          2.0522                  0.1887                  1.3373          0.5953          1.6336                  0.4172
[2022/06/16 20:42:28] - 63       187.0           28.7            0.1000          1.7782          0.3258          2.0560                  0.1972                  1.2639          0.6143          1.6204                  0.4127
[2022/06/16 20:46:04] - 64       187.0           28.7            0.1000          1.7860          0.3159          2.0642                  0.1923                  1.6857          0.5025          1.8713                  0.3747
[2022/06/16 20:49:40] - 65       187.3           28.8            0.1000          1.8289          0.3036          2.0902                  0.1835                  1.3255          0.5874          1.6589                  0.3957
[2022/06/16 20:53:16] - 66       187.0           28.8            0.1000          1.8104          0.3194          2.0774                  0.1931                  1.4317          0.5887          1.7231                  0.4014
[2022/06/16 20:56:51] - 67       187.0           28.7            0.1000          1.8184          0.3098          2.0844                  0.1873                  1.5802          0.5092          1.8022                  0.3798
[2022/06/16 21:00:27] - 68       186.9           28.7            0.1000          1.8032          0.2973          2.0757                  0.1820                  1.4908          0.5473          1.7603                  0.3812
[2022/06/16 21:04:03] - 69       186.9           28.7            0.1000          1.8127          0.3109          2.0803                  0.1911                  1.5994          0.4995          1.8773                  0.3383
[2022/06/16 21:07:39] - 70       187.1           28.7            0.1000          1.8186          0.3344          2.0808                  0.2025                  1.2412          0.6325          1.6371                  0.4017
[2022/06/16 21:11:15] - 71       186.9           28.8            0.1000          1.8121          0.2897          2.0822                  0.1789                  1.6788          0.5133          1.8750                  0.3613
[2022/06/16 21:14:50] - 72       186.9           28.7            0.1000          1.8147          0.3105          2.0782                  0.1910                  1.2772          0.5817          1.6702                  0.3918
[2022/06/16 21:18:26] - 73       187.0           28.7            0.1000          1.8045          0.3168          2.0756                  0.1909                  1.3382          0.5873          1.6716                  0.3899
[2022/06/16 21:22:02] - 74       186.9           28.7            0.1000          1.7730          0.3174          2.0550                  0.1923                  1.6936          0.5118          1.8689                  0.3823
[2022/06/16 21:25:37] - 75       186.9           28.7            0.1000          1.8057          0.3071          2.0766                  0.1864                  1.4497          0.5329          1.7356                  0.3738
[2022/06/16 21:29:13] - 76       187.0           28.7            0.1000          1.7893          0.3103          2.0665                  0.1858                  1.6193          0.4964          1.8345                  0.3625
[2022/06/16 21:32:49] - 77       187.0           28.7            0.1000          1.8005          0.2970          2.0735                  0.1843                  1.5166          0.5744          1.7769                  0.3946
[2022/06/16 21:36:24] - 78       187.0           28.7            0.1000          1.7987          0.3057          2.0755                  0.1819                  1.3758          0.5764          1.6911                  0.3972
[2022/06/16 21:40:00] - 79       187.0           28.7            0.1000          1.8044          0.3041          2.0781                  0.1831                  1.3727          0.5820          1.6795                  0.3958
[2022/06/16 21:43:36] - 80       186.9           28.7            0.1000          1.8009          0.2920          2.0727                  0.1790                  1.2563          0.6186          1.6071                  0.4146
[2022/06/16 21:47:12] - 81       186.9           28.7            0.1000          1.8105          0.3067          2.0777                  0.1853                  1.7072          0.4907          1.8878                  0.3582
[2022/06/16 21:50:47] - 82       186.9           28.7            0.1000          1.8044          0.3138          2.0775                  0.1906                  1.3150          0.6198          1.6455                  0.4148
[2022/06/16 21:54:23] - 83       186.9           28.7            0.1000          1.7962          0.3097          2.0716                  0.1894                  1.6729          0.5166          1.8630                  0.3818
[2022/06/16 21:57:58] - 84       186.9           28.7            0.1000          1.7810          0.3065          2.0622                  0.1858                  1.6351          0.5342          1.8350                  0.3780
[2022/06/16 22:01:34] - 85       186.9           28.7            0.1000          1.8044          0.3170          2.0756                  0.1916                  1.6711          0.5288          1.8675                  0.3793
[2022/06/16 22:05:10] - 86       187.0           28.7            0.1000          1.8053          0.3147          2.0788                  0.1900                  1.2644          0.5964          1.6521                  0.3952
[2022/06/16 22:08:46] - 87       187.1           28.7            0.1000          1.8043          0.3202          2.0771                  0.1920                  1.3242          0.6033          1.6389                  0.4202
[2022/06/16 22:12:21] - 88       186.9           28.7            0.1000          1.7906          0.3181          2.0685                  0.1956                  1.3344          0.6123          1.6491                  0.4134
[2022/06/16 22:15:57] - 89       186.9           28.8            0.1000          1.7854          0.3152          2.0641                  0.1918                  1.3158          0.6033          1.6650                  0.3986
[2022/06/16 22:19:33] - 90       186.8           28.7            0.1000          1.8028          0.3270          2.0748                  0.1967                  1.3929          0.5724          1.7053                  0.4006
[2022/06/16 22:23:09] - 91       186.9           28.7            0.1000          1.7894          0.2966          2.0671                  0.1848                  1.3764          0.5756          1.6930                  0.4017
[2022/06/16 22:26:44] - 92       186.8           28.7            0.1000          1.7847          0.3124          2.0645                  0.1914                  1.7348          0.4897          1.8982                  0.3680
[2022/06/16 22:30:20] - 93       186.8           28.7            0.1000          1.8048          0.3158          2.0761                  0.1905                  1.2275          0.6048          1.6157                  0.4133
[2022/06/16 22:33:56] - 94       187.1           28.7            0.1000          1.8291          0.3198          2.0941                  0.1914                  1.4127          0.5988          1.6868                  0.4235
[2022/06/16 22:37:31] - 95       186.9           28.7            0.1000          1.7859          0.3065          2.0622                  0.1880                  1.3282          0.5919          1.6507                  0.4098
[2022/06/16 22:41:07] - 96       186.8           28.7            0.1000          1.8164          0.3348          2.0838                  0.1972                  1.3660          0.5664          1.7080                  0.3696
[2022/06/16 22:44:43] - 97       186.9           28.8            0.1000          1.7959          0.3247          2.0683                  0.1943                  1.2761          0.5947          1.6254                  0.4141
[2022/06/16 22:48:18] - 98       187.0           28.7            0.1000          1.8094          0.3153          2.0821                  0.1888                  1.4267          0.5801          1.7151                  0.4015
[2022/06/16 22:51:54] - 99       186.9           28.7            0.0100          1.7956          0.3206          2.0683                  0.1929                  1.5653          0.5285          1.8065                  0.3741
[2022/06/16 22:55:30] - 100      186.9           28.7            0.0100          1.7411          0.3452          2.0132                  0.2128                  1.1089          0.6590          1.5116                  0.4489
[2022/06/16 22:59:06] - 101      186.9           28.7            0.0100          1.7005          0.3458          1.9891                  0.2116                  1.0675          0.6817          1.4714                  0.4633
[2022/06/16 23:02:42] - 102      186.9           28.7            0.0100          1.6836          0.3645          1.9785                  0.2252                  1.1398          0.6724          1.5044                  0.4653
[2022/06/16 23:06:17] - 103      186.9           28.7            0.0100          1.6875          0.3451          1.9869                  0.2112                  1.4336          0.6186          1.6932                  0.4410
[2022/06/16 23:09:53] - 104      186.9           28.8            0.0100          1.6633          0.3416          1.9691                  0.2096                  1.4916          0.6044          1.7304                  0.4385
[2022/06/16 23:13:29] - 105      186.9           28.7            0.0100          1.6917          0.3518          1.9885                  0.2148                  1.2680          0.6536          1.5983                  0.4484
[2022/06/16 23:17:04] - 106      186.9           28.7            0.0100          1.6575          0.3470          1.9664                  0.2114                  1.0478          0.6807          1.4698                  0.4700
[2022/06/16 23:20:40] - 107      186.9           28.7            0.0100          1.6574          0.3507          1.9689                  0.2124                  1.0095          0.7109          1.4505                  0.4698
[2022/06/16 23:24:16] - 108      186.9           28.7            0.0100          1.6304          0.3657          1.9493                  0.2229                  1.0977          0.6930          1.4787                  0.4735
[2022/06/16 23:27:52] - 109      186.9           28.7            0.0100          1.6536          0.3658          1.9674                  0.2234                  1.4917          0.6045          1.7182                  0.4478
[2022/06/16 23:31:28] - 110      186.9           28.7            0.0100          1.6338          0.3556          1.9534                  0.2171                  1.4025          0.6293          1.6774                  0.4481
[2022/06/16 23:35:03] - 111      186.9           28.7            0.0100          1.6262          0.3488          1.9488                  0.2136                  1.2752          0.6592          1.5872                  0.4683
[2022/06/16 23:38:39] - 112      186.9           28.7            0.0100          1.6473          0.3585          1.9648                  0.2157                  1.2320          0.6737          1.5665                  0.4706
[2022/06/16 23:42:14] - 113      186.9           28.7            0.0100          1.6118          0.3641          1.9361                  0.2221                  1.0643          0.6993          1.4499                  0.4821
[2022/06/16 23:45:50] - 114      186.9           28.7            0.0100          1.6083          0.3619          1.9391                  0.2215                  1.0271          0.7079          1.4457                  0.4848
[2022/06/16 23:49:26] - 115      186.9           28.7            0.0100          1.6312          0.3575          1.9525                  0.2163                  1.0648          0.6942          1.4615                  0.4783
[2022/06/16 23:53:02] - 116      186.9           28.7            0.0100          1.6044          0.3671          1.9386                  0.2207                  0.9789          0.7232          1.4135                  0.4858
[2022/06/16 23:56:38] - 117      186.9           28.8            0.0100          1.6422          0.3611          1.9634                  0.2189                  0.9698          0.7231          1.4190                  0.4873
[2022/06/17 00:00:13] - 118      186.9           28.7            0.0100          1.6277          0.3496          1.9537                  0.2119                  1.4351          0.6349          1.6825                  0.4693
[2022/06/17 00:03:49] - 119      186.9           28.7            0.0100          1.6219          0.3619          1.9498                  0.2181                  0.9949          0.7103          1.4168                  0.4923
[2022/06/17 00:07:25] - 120      186.9           28.7            0.0100          1.6338          0.3604          1.9572                  0.2188                  0.9919          0.7219          1.4289                  0.4863
[2022/06/17 00:11:01] - 121      186.9           28.7            0.0100          1.5982          0.3729          1.9350                  0.2230                  1.0063          0.7052          1.4497                  0.4713
[2022/06/17 00:14:37] - 122      186.9           28.8            0.0100          1.6243          0.3767          1.9538                  0.2256                  1.1578          0.6906          1.5424                  0.4613
[2022/06/17 00:18:12] - 123      186.9           28.7            0.0100          1.6241          0.3584          1.9544                  0.2162                  1.2241          0.6819          1.5561                  0.4732
[2022/06/17 00:21:48] - 124      186.9           28.7            0.0100          1.6206          0.3581          1.9503                  0.2183                  1.1650          0.6723          1.5427                  0.4588
[2022/06/17 00:25:23] - 125      186.9           28.7            0.0100          1.6291          0.3719          1.9569                  0.2226                  1.0205          0.7156          1.4311                  0.4865
[2022/06/17 00:28:59] - 126      186.9           28.7            0.0100          1.5837          0.3583          1.9253                  0.2193                  1.0353          0.7120          1.4645                  0.4780
[2022/06/17 00:32:35] - 127      186.9           28.7            0.0100          1.6292          0.3656          1.9567                  0.2156                  1.1743          0.6790          1.5467                  0.4621
[2022/06/17 00:36:10] - 128      186.9           28.7            0.0100          1.6092          0.3670          1.9464                  0.2214                  1.2748          0.6721          1.6015                  0.4650
[2022/06/17 00:39:46] - 129      186.9           28.7            0.0100          1.6265          0.3553          1.9583                  0.2099                  1.1434          0.7101          1.4992                  0.4932
[2022/06/17 00:43:22] - 130      186.9           28.7            0.0100          1.5911          0.3648          1.9292                  0.2211                  0.9813          0.7160          1.4101                  0.4950
[2022/06/17 00:46:58] - 131      186.9           28.7            0.0100          1.6252          0.3568          1.9559                  0.2120                  1.3264          0.6726          1.6204                  0.4774
[2022/06/17 00:50:34] - 132      186.9           28.7            0.0100          1.6247          0.3534          1.9568                  0.2093                  1.3920          0.6345          1.6659                  0.4567
