[2022/06/28 20:21:20] - Namespace(attack='pgd', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../cifar-data', dropout=0.2, epochs=200, epsilon=8, eval=False, fgsm_alpha=1.0, fgsm_init='r
andom', fname='experiments/cifar10_dropout/preactresnet18_0.2', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='PreActResNet18drop', norm='l_i
nf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)                                                                                                                                                           
[2022/06/28 20:21:35] - Epoch    Train Time      Test Time       LR              Train Loss      Train Acc       Train Robust Loss       Train Robust Acc        Test Loss       Test Acc        Test Robust Loss    Test Robust Acc  
[2022/06/28 23:04:03] - 47       170.9           31.8            0.1000          0.9078          0.7411          1.4487                  0.4536                  0.8534          0.7413          1.4690                  0.4461
[2022/06/28 23:07:26] - 48       170.8           31.8            0.1000          0.8963          0.7473          1.4415                  0.4558                  0.8596          0.7311          1.4972                  0.4256
[2022/06/28 23:10:49] - 49       170.9           31.8            0.1000          0.8961          0.7496          1.4404                  0.4572                  0.9112          0.7295          1.4988                  0.4452
[2022/06/28 23:14:12] - 50       170.9           31.8            0.1000          0.8920          0.7497          1.4368                  0.4549                  0.9171          0.7203          1.4822                  0.4501
[2022/06/28 23:17:34] - 51       170.8           31.8            0.1000          0.8956          0.7491          1.4398                  0.4532                  0.8735          0.7381          1.4603                  0.4493
[2022/06/28 23:20:57] - 52       170.8           31.8            0.1000          0.8935          0.7471          1.4375                  0.4559                  0.8886          0.7238          1.4995                  0.4462
[2022/06/28 23:24:20] - 53       170.9           31.8            0.1000          0.8932          0.7480          1.4401                  0.4565                  0.8956          0.7480          1.4861                  0.4478
[2022/06/28 23:27:42] - 54       170.9           31.8            0.1000          0.8901          0.7517          1.4354                  0.4569                  0.8707          0.7376          1.4804                  0.4389
[2022/06/28 23:31:05] - 55       170.9           31.8            0.1000          0.8865          0.7485          1.4321                  0.4577                  0.8620          0.7305          1.4659                  0.4523
[2022/06/28 23:34:28] - 56       170.9           31.8            0.1000          0.8905          0.7482          1.4358                  0.4579                  0.8579          0.7281          1.4696                  0.4537
[2022/06/28 23:37:50] - 57       170.9           31.8            0.1000          0.8897          0.7514          1.4355                  0.4588                  0.8906          0.7184          1.5506                  0.4208
[2022/06/28 23:41:13] - 58       170.9           31.8            0.1000          0.8937          0.7495          1.4377                  0.4552                  0.8503          0.7480          1.4488                  0.4542
[2022/06/28 23:44:35] - 59       170.8           31.8            0.1000          0.8869          0.7516          1.4332                  0.4594                  0.8905          0.7453          1.4643                  0.4460
[2022/06/28 23:47:58] - 60       170.7           31.8            0.1000          0.8851          0.7522          1.4320                  0.4580                  0.9019          0.7360          1.4860                  0.4483
[2022/06/28 23:51:21] - 61       170.8           31.8            0.1000          0.8854          0.7519          1.4301                  0.4580                  0.8232          0.7587          1.4747                  0.4426
[2022/06/28 23:54:44] - 62       170.8           31.8            0.1000          0.8845          0.7517          1.4321                  0.4572                  0.8985          0.7444          1.4746                  0.4432
[2022/06/28 23:58:06] - 63       170.8           31.8            0.1000          0.8820          0.7524          1.4271                  0.4603                  0.8892          0.7205          1.4669                  0.4539
[2022/06/29 00:01:29] - 64       170.8           31.8            0.1000          0.8845          0.7520          1.4301                  0.4593                  0.8713          0.7199          1.4634                  0.4512
[2022/06/29 00:04:51] - 65       170.8           31.8            0.1000          0.8808          0.7519          1.4260                  0.4604                  0.9158          0.7104          1.4910                  0.4432
[2022/06/29 00:08:14] - 66       170.8           31.8            0.1000          0.8807          0.7541          1.4288                  0.4576                  0.8584          0.7551          1.4634                  0.4534
[2022/06/29 00:11:36] - 67       170.8           31.8            0.1000          0.8797          0.7568          1.4287                  0.4621                  0.8203          0.7511          1.4602                  0.4475
[2022/06/29 00:14:59] - 68       170.9           31.8            0.1000          0.8770          0.7579          1.4264                  0.4580                  0.8853          0.7352          1.4502                  0.4616
[2022/06/29 00:18:22] - 69       170.8           31.8            0.1000          0.8800          0.7555          1.4274                  0.4600                  0.8487          0.7266          1.4770                  0.4455
[2022/06/29 00:21:45] - 70       170.8           31.8            0.1000          0.8766          0.7542          1.4229                  0.4617                  0.8588          0.7574          1.4544                  0.4518
[2022/06/29 00:25:07] - 71       170.8           31.7            0.1000          0.8796          0.7554          1.4277                  0.4583                  0.8865          0.7375          1.4688                  0.4548
[2022/06/29 00:28:30] - 72       170.8           31.7            0.1000          0.8763          0.7565          1.4264                  0.4613                  0.8401          0.7396          1.4569                  0.4519
[2022/06/29 00:31:52] - 73       170.8           31.8            0.1000          0.8768          0.7542          1.4254                  0.4618                  0.8626          0.7413          1.4636                  0.4482
[2022/06/29 00:35:15] - 74       170.8           31.8            0.1000          0.8793          0.7552          1.4261                  0.4615                  0.8741          0.7443          1.4517                  0.4575
[2022/06/29 00:38:38] - 75       170.8           31.8            0.1000          0.8751          0.7574          1.4240                  0.4625                  0.8924          0.7305          1.4882                  0.4321
[2022/06/29 00:42:00] - 76       170.9           31.8            0.1000          0.8755          0.7563          1.4241                  0.4611                  0.8939          0.7423          1.4847                  0.4539
